Time	direction	frame	subF	slot	1stSym	nSymbol	cellId	bwpId	rnti	tbSize	mcs	rank	rv	SINR(dB)	CQI	corrupt	TBler
0.102982	DL	10	2	3	1	12	1	1	1	1605	12	1	0	5.1093	7	0	3.93336e-07
0.102982	DL	10	2	3	1	12	4	1	1	5990	28	1	0	46.7866	15	0	0
0.102996	DL	10	2	15	1	12	1	0	2	1454	28	1	0	23.1112	15	0	0
0.102996	DL	10	2	15	1	12	4	0	2	39	0	1	0	-9.44036	0	1	0.999993
0.102996	DL	10	2	15	1	12	7	0	1	229	8	1	0	3.66677	5	0	0
0.103058	DL	10	3	0	1	12	1	0	2	1454	28	1	0	23.1112	15	0	0
0.103058	DL	10	3	0	1	12	4	0	2	39	0	1	0	-9.44036	0	1	0.999993
0.103058	DL	10	3	0	1	12	7	0	1	229	8	1	0	3.66677	5	0	0
0.103121	DL	10	3	1	1	12	1	0	2	1454	28	1	0	23.1112	15	0	0
0.103121	DL	10	3	1	1	12	4	0	2	387	12	1	2	-9.44036	0	1	1
0.103121	DL	10	3	1	1	12	7	0	1	229	8	1	0	3.66677	5	0	0
0.103183	DL	10	3	2	1	12	1	0	2	1454	28	1	0	23.1112	15	0	0
0.103183	DL	10	3	2	1	12	4	0	2	39	0	1	0	-9.44036	0	1	0.999993
0.103183	DL	10	3	2	1	12	7	0	1	229	8	1	0	3.66677	5	0	0
0.103214	DL	10	3	0	1	11	4	1	1	5489	28	1	0	46.7866	15	0	0
0.103232	DL	10	3	0	1	12	1	1	1	1605	12	1	0	45.6942	15	0	0
0.103246	DL	10	3	3	1	12	1	0	2	1454	28	1	0	23.1112	15	0	0
0.103246	DL	10	3	3	1	12	4	0	2	39	0	1	1	-9.44036	0	1	0.0968173
0.103246	DL	10	3	3	1	12	7	0	1	229	8	1	0	3.66677	5	0	0
0.103308	DL	10	3	4	1	12	1	0	2	1454	28	1	0	23.1112	15	0	0
0.103308	DL	10	3	4	1	12	4	0	2	39	0	1	1	-9.44036	0	0	0.0968173
0.103308	DL	10	3	4	1	12	7	0	1	229	8	1	0	3.66677	5	0	0
0.103366	DL	10	3	5	1	11	4	0	2	35	0	1	0	-9.44036	0	1	0.999993
0.103371	DL	10	3	5	1	12	1	0	2	1454	28	1	0	23.3308	15	0	0
0.103371	DL	10	3	5	1	12	7	0	1	229	8	1	0	3.80153	5	0	0
0.103433	DL	10	3	6	1	12	1	0	2	1454	28	1	0	23.1112	15	0	0
0.103433	DL	10	3	6	1	12	4	0	2	39	0	1	1	-9.44036	0	0	0.0968173
0.103433	DL	10	3	6	1	12	7	0	1	229	8	1	0	3.66677	5	0	0
0.103482	DL	10	3	1	1	12	1	1	1	1605	12	1	0	5.1093	7	0	3.93336e-07
0.103482	DL	10	3	1	1	12	4	1	1	5990	28	1	0	46.7866	15	0	0
0.103496	DL	10	3	7	1	12	1	0	2	1454	28	1	0	23.1112	15	0	0
0.103496	DL	10	3	7	1	12	4	0	2	387	12	1	3	-9.44036	0	1	1
0.103496	DL	10	3	7	1	12	7	0	1	229	8	1	0	3.66677	5	0	0
0.103558	DL	10	3	8	1	12	1	0	2	1454	28	1	0	23.1112	15	0	0
0.103558	DL	10	3	8	1	12	4	0	2	39	0	1	1	-9.44036	0	0	0.0968173
0.103558	DL	10	3	8	1	12	7	0	1	229	8	1	0	3.66677	5	0	0
0.103621	DL	10	3	9	1	12	1	0	2	1454	28	1	0	23.1112	15	0	0
0.103621	DL	10	3	9	1	12	4	0	2	39	0	1	2	-9.44036	0	0	7.27807e-13
0.103621	DL	10	3	9	1	12	7	0	1	229	8	1	0	3.66677	5	0	0
0.103683	DL	10	3	10	1	12	1	0	2	1454	28	1	0	23.2566	15	0	0
0.103683	DL	10	3	10	1	12	4	0	2	35	0	1	1	-9.89915	0	0	0.192688
0.103683	DL	10	3	10	1	12	7	0	1	229	8	1	0	3.65102	5	0	0
0.103732	DL	10	3	2	1	12	1	1	1	1605	12	1	0	5.1093	7	0	3.93336e-07
0.103732	DL	10	3	2	1	12	4	1	1	5990	28	1	0	46.7866	15	0	0
0.103746	DL	10	3	11	1	12	1	0	2	1454	28	1	0	23.1112	15	0	0
0.103746	DL	10	3	11	1	12	4	0	2	39	0	1	0	-9.44036	0	1	0.999993
0.103746	DL	10	3	11	1	12	7	0	1	229	8	1	0	3.66677	5	0	0
0.103808	DL	10	3	12	1	12	1	0	2	1454	28	1	0	23.1112	15	0	0
0.103808	DL	10	3	12	1	12	4	0	2	39	0	1	0	-9.44036	0	1	0.999993
0.103808	DL	10	3	12	1	12	7	0	1	229	8	1	0	3.66677	5	0	0
0.103871	DL	10	3	13	1	12	1	0	2	1454	28	1	0	23.1112	15	0	0
0.103871	DL	10	3	13	1	12	4	0	2	39	0	1	0	-9.44036	0	1	0.999993
0.103871	DL	10	3	13	1	12	7	0	1	229	8	1	0	3.66677	5	0	0
0.103933	DL	10	3	14	1	12	1	0	2	1454	28	1	0	23.1112	15	0	0
0.103933	DL	10	3	14	1	12	4	0	2	39	0	1	0	-9.44036	0	1	0.999993
0.103933	DL	10	3	14	1	12	7	0	1	229	8	1	0	3.66677	5	0	0
0.103982	DL	10	3	3	1	12	1	1	1	1605	12	1	0	5.1093	7	0	3.93336e-07
0.103982	DL	10	3	3	1	12	4	1	1	5990	28	1	0	46.7866	15	0	0
0.103996	DL	10	3	15	1	12	1	0	2	1454	28	1	0	23.1112	15	0	0
0.103996	DL	10	3	15	1	12	4	0	2	39	0	1	0	-9.44036	0	1	0.999993
0.103996	DL	10	3	15	1	12	7	0	1	229	8	1	0	3.66677	5	0	0
0.104058	DL	10	4	0	1	12	1	0	2	1454	28	1	0	23.1112	15	0	0
0.104058	DL	10	4	0	1	12	4	0	2	39	0	1	1	-9.44036	0	0	0.0968173
0.104058	DL	10	4	0	1	12	7	0	1	229	8	1	0	3.66677	5	0	0
0.104121	DL	10	4	1	1	12	1	0	2	1454	28	1	0	23.1112	15	0	0
0.104121	DL	10	4	1	1	12	4	0	2	39	0	1	1	-9.44036	0	0	0.0968173
0.104121	DL	10	4	1	1	12	7	0	1	229	8	1	0	3.66677	5	0	0
0.104183	DL	10	4	2	1	12	1	0	2	1454	28	1	0	23.1112	15	0	0
0.104183	DL	10	4	2	1	12	4	0	2	39	0	1	1	-9.44036	0	0	0.0968173
0.104183	DL	10	4	2	1	12	7	0	1	229	8	1	0	3.66677	5	0	0
0.104232	DL	10	4	0	1	12	1	1	1	1605	12	1	0	5.1093	7	0	3.93336e-07
0.104232	DL	10	4	0	1	12	4	1	1	5990	28	1	0	46.7866	15	0	0
0.104246	DL	10	4	3	1	12	1	0	2	1454	28	1	0	23.1112	15	0	0
0.104246	DL	10	4	3	1	12	4	0	2	39	0	1	1	-9.44036	0	0	0.0968173
0.104246	DL	10	4	3	1	12	7	0	1	229	8	1	0	3.66677	5	0	0
0.104308	DL	10	4	4	1	12	1	0	2	1454	28	1	0	23.1112	15	0	0
0.104308	DL	10	4	4	1	12	4	0	2	39	0	1	1	-9.44036	0	0	0.0968173
0.104308	DL	10	4	4	1	12	7	0	1	229	8	1	0	3.66677	5	0	0
0.104371	DL	10	4	5	1	12	1	0	2	1454	28	1	0	23.1112	15	0	0
0.104371	DL	10	4	5	1	12	4	0	2	39	0	1	0	-9.44036	0	1	0.999993
0.104371	DL	10	4	5	1	12	7	0	1	229	8	1	0	3.66677	5	0	0
0.104433	DL	10	4	6	1	12	1	0	2	1454	28	1	0	23.1112	15	0	0
0.104433	DL	10	4	6	1	12	4	0	2	39	0	1	0	-9.44036	0	1	0.999993
0.104433	DL	10	4	6	1	12	7	0	1	229	8	1	0	3.66677	5	0	0
0.104482	DL	10	4	1	1	12	1	1	1	1605	12	1	0	5.1093	7	0	3.93336e-07
0.104482	DL	10	4	1	1	12	4	1	1	5990	28	1	0	46.7866	15	0	0
0.104496	DL	10	4	7	1	12	1	0	2	1454	28	1	0	23.1112	15	0	0
0.104496	DL	10	4	7	1	12	4	0	2	39	0	1	0	-9.44036	0	1	0.999993
0.104496	DL	10	4	7	1	12	7	0	1	229	8	1	0	3.66677	5	0	0
0.104558	DL	10	4	8	1	12	1	0	2	1454	28	1	0	23.1112	15	0	0
0.104558	DL	10	4	8	1	12	4	0	2	39	0	1	0	-9.44036	0	1	0.999993
0.104558	DL	10	4	8	1	12	7	0	1	229	8	1	0	3.66677	5	0	0
0.104621	DL	10	4	9	1	12	1	0	2	1454	28	1	0	23.1112	15	0	0
0.104621	DL	10	4	9	1	12	4	0	2	39	0	1	0	-9.44036	0	1	0.999993
0.104621	DL	10	4	9	1	12	7	0	1	229	8	1	0	3.66677	5	0	0
0.104683	DL	10	4	10	1	12	1	0	2	1454	28	1	0	23.1112	15	0	0
0.104683	DL	10	4	10	1	12	4	0	2	39	0	1	1	-9.44036	0	0	0.0968173
0.104683	DL	10	4	10	1	12	7	0	1	229	8	1	0	3.66677	5	0	0
0.104732	DL	10	4	2	1	12	1	1	1	5990	28	1	0	5.1093	7	1	1
0.104732	DL	10	4	2	1	12	4	1	1	5990	28	1	0	46.7866	15	0	0
0.104746	DL	10	4	11	1	12	1	0	2	1454	28	1	0	23.1112	15	0	0
0.104746	DL	10	4	11	1	12	4	0	2	39	0	1	1	-9.44036	0	0	0.0968173
0.104746	DL	10	4	11	1	12	7	0	1	229	8	1	0	3.66677	5	0	0
0.104808	DL	10	4	12	1	12	1	0	2	1454	28	1	0	23.1112	15	0	0
0.104808	DL	10	4	12	1	12	4	0	2	39	0	1	1	-9.44036	0	0	0.0968173
0.104808	DL	10	4	12	1	12	7	0	1	229	8	1	0	3.66677	5	0	0
0.104871	DL	10	4	13	1	12	1	0	2	1454	28	1	0	23.1112	15	0	0
0.104871	DL	10	4	13	1	12	4	0	2	39	0	1	1	-9.44036	0	0	0.0968173
0.104871	DL	10	4	13	1	12	7	0	1	229	8	1	0	3.66677	5	0	0
0.104933	DL	10	4	14	1	12	1	0	2	1454	28	1	0	23.1112	15	0	0
0.104933	DL	10	4	14	1	12	4	0	2	39	0	1	1	-9.44036	0	0	0.0968173
0.104933	DL	10	4	14	1	12	7	0	1	229	8	1	0	3.66677	5	0	0
0.104982	DL	10	4	3	1	12	1	1	1	1605	12	1	0	5.1093	7	0	3.93336e-07
0.104982	DL	10	4	3	1	12	4	1	1	5990	28	1	0	46.7866	15	0	0
0.104996	DL	10	4	15	1	12	1	0	2	1454	28	1	0	23.1112	15	0	0
0.104996	DL	10	4	15	1	12	4	0	2	39	0	1	0	-9.44036	0	1	0.999993
0.104996	DL	10	4	15	1	12	7	0	1	229	8	1	0	3.66677	5	0	0
0.105058	DL	10	5	0	1	12	1	0	2	1454	28	1	0	23.1112	15	0	0
0.105058	DL	10	5	0	1	12	4	0	2	39	0	1	0	-9.44036	0	1	0.999993
0.105058	DL	10	5	0	1	12	7	0	1	229	8	1	0	3.66677	5	0	0
0.105121	DL	10	5	1	1	12	1	0	2	1454	28	1	0	23.1112	15	0	0
0.105121	DL	10	5	1	1	12	4	0	2	39	0	1	0	-9.44036	0	1	0.999993
