% time(s)	cellId	bwpId	IMSI	RNTI	frame	sframe	slot	symStart	numSym	harqId	ndi	rv	mcs	tbSize
0.109063	1	0	0	2	10	9	3	1	12	12	1	0	28	1454
0.109063	7	0	0	1	10	9	3	1	12	12	1	0	0	39
0.109125	1	0	0	2	10	9	4	1	12	15	1	0	28	1454
0.109125	7	0	0	1	10	9	4	1	12	11	1	0	0	39
0.109188	1	0	0	2	10	9	5	1	12	14	1	0	28	1454
0.109188	7	0	0	1	10	9	5	1	12	15	1	0	0	39
0.10925	1	1	0	1	10	9	3	1	12	14	1	0	12	1605
0.10925	4	1	0	1	10	9	3	1	12	11	1	0	28	5990
0.10925	1	0	0	2	10	9	6	1	12	13	1	0	28	1454
0.10925	4	0	0	2	10	9	6	1	12	13	1	0	0	39
0.10925	7	0	0	1	10	9	6	1	12	14	1	0	0	39
0.109313	1	0	0	2	10	9	7	1	12	11	1	0	28	1454
0.109313	7	0	0	1	10	9	7	1	12	13	1	0	0	39
0.109375	1	0	0	2	10	9	8	1	12	12	1	0	28	1454
0.109375	7	0	0	1	10	9	8	1	12	12	1	0	0	39
0.109437	1	0	0	2	10	9	9	1	12	15	1	0	28	1454
0.109437	7	0	0	1	10	9	9	1	12	11	1	0	0	39
0.1095	1	1	0	1	11	0	0	1	12	13	1	0	12	1605
0.1095	4	1	0	1	11	0	0	1	12	14	1	0	28	5990
0.1095	1	0	0	2	10	9	10	1	12	14	1	0	28	1454
0.1095	4	0	0	2	10	9	10	1	12	11	1	0	0	39
0.1095	7	0	0	1	10	9	10	1	12	15	1	0	0	39
0.109562	1	0	0	2	10	9	11	1	12	13	1	0	28	1454
