Time	CellId	RNTI	BWPId	SINR(dB)
0.0250714	1	2	0	36.4221
0.0250714	4	2	0	-19.4362
0.0251205	7	1	0	38.6569
0.0251562	7	1	0	39.1801
0.0251964	1	2	0	36.4221
0.0251964	4	2	0	-19.4362
0.0252321	1	1	1	65.8156
0.0252455	7	1	0	38.6569
0.0252589	1	2	0	35.102
0.0252589	7	1	0	-5.11815
0.0252857	4	1	1	31.0066
0.025308	4	2	0	32.4478
0.0253705	4	2	0	33.6571
0.0253839	1	2	0	35.102
0.0253839	7	1	0	-5.11815
0.025433	4	2	0	32.4478
0.0254464	1	1	1	66.0634
0.0254464	1	2	0	33.1112
0.0254464	7	1	0	-5.10577
0.0254955	4	2	0	33.2843
0.0255357	1	1	1	5.96355
0.0255357	4	1	1	31.0066
0.025558	4	2	0	32.8255
0.0255714	1	2	0	36.4221
0.0256205	4	2	0	32.8153
0.0256205	7	1	0	6.78146
0.0256384	4	2	0	21.5261
0.025683	7	1	0	38.3894
0.0256964	1	2	0	61.0085
0.0257455	4	2	0	10.9276
0.0257455	7	1	0	-2.14227
0.0257589	1	2	0	36.4221
0.0257589	4	2	0	-19.4362
0.0257857	1	1	1	5.96355
0.0257857	4	1	1	31.0066
0.025808	7	1	0	38.6569
0.0258705	7	1	0	39.1801
0.0258839	1	2	0	36.4221
0.0258839	4	2	0	-19.4362
0.025933	7	1	0	38.6569
0.0259464	1	2	0	33.1112
0.0259464	4	2	0	-19.4363
0.0259554	7	1	0	37.4199
0.0260357	1	1	1	5.96355
0.0260357	4	1	1	31.0066
0.026058	7	1	0	39.0347
0.0260714	1	2	0	61.0085
0.0261205	4	2	0	10.9276
0.0261205	7	1	0	-2.14227
0.0261339	7	1	0	9.83385
0.026183	4	2	0	33.3084
0.0261964	1	2	0	35.102
0.0261964	7	1	0	-5.11815
0.0262455	4	2	0	32.4478
0.0262589	1	2	0	35.102
0.0262589	7	1	0	-5.11815
0.0262857	1	1	1	5.96355
0.0262857	4	1	1	31.0066
0.026308	4	2	0	32.4478
0.0263705	4	2	0	33.6621
0.0263839	1	2	0	35.102
0.0263839	7	1	0	-5.11815
0.026433	4	2	0	32.4478
0.0264464	1	2	0	36.4221
0.0264509	4	2	0	30.1837
0.0264955	7	1	0	38.2433
0.0265357	1	1	1	5.96355
0.0265357	4	1	1	31.0066
0.026558	4	2	0	11.3051
0.026558	7	1	0	-1.89187
0.0265714	1	2	0	36.4221
0.0265714	4	2	0	-19.4362
0.0266205	7	1	0	38.6569
0.026683	7	1	0	39.1801
0.0266964	1	2	0	36.4221
0.0266964	4	2	0	-19.4362
0.0267455	7	1	0	38.6569
0.0267589	1	2	0	34.9258
0.0267857	4	1	1	62.6319
0.026808	4	2	0	19.6732
0.026808	7	1	0	37.9353
0.0268214	4	2	0	33.193
0.0268705	7	1	0	38.6572
0.0268839	1	2	0	61.0085
0.026933	4	2	0	10.9276
0.026933	7	1	0	-2.14227
0.0269464	1	2	0	33.1112
0.0269554	7	1	0	8.14264
0.0269821	1	1	1	65.8156
0.0269955	4	2	0	32.4714
0.0270357	4	1	1	62.6319
0.027058	4	2	0	11.3051
0.027058	7	1	0	-1.89187
0.0270714	1	2	0	33.1112
0.0270714	7	1	0	-5.10577
0.0271205	4	2	0	32.8845
0.0271339	4	2	0	33.6621
0.0271964	1	2	0	35.102
0.0271964	7	1	0	-5.11815
0.0272321	1	1	1	65.8156
0.0272455	4	2	0	32.4478
0.0272589	1	2	0	35.9839
0.0272589	4	2	0	-19.4361
0.0272857	4	1	1	62.6319
0.027308	7	1	0	38.6466
0.0273259	7	1	0	38.6206
0.0273705	4	2	0	32.0802
0.0273839	1	2	0	36.4221
0.0273839	4	2	0	-19.4362
0.027433	7	1	0	38.6569
0.0274464	1	2	0	33.1112
0.0274464	4	2	0	-19.4363
0.0274821	1	1	1	65.8156
0.0274955	7	1	0	38.8024
0.0275357	4	1	1	62.6319
0.027558	7	1	0	39.0347
0.0275714	1	2	0	35.102
0.0276205	4	2	0	19.7492
0.0276205	7	1	0	38.2429
0.0276339	7	1	0	9.83385
0.027683	4	2	0	33.3084
0.0276964	1	2	0	35.102
0.0276964	7	1	0	-5.11815
0.0277321	1	1	1	65.8156
0.0277455	4	2	0	32.4478
0.0277589	1	2	0	35.102
0.0277589	7	1	0	-5.11815
0.0277857	4	1	1	62.6319
0.027808	4	2	0	32.4478
0.0278705	4	2	0	33.193
0.0278705	7	1	0	7.13655
0.0278839	1	2	0	35.102
0.0278839	7	1	0	-5.11815
0.027933	4	2	0	32.4478
0.0279464	1	2	0	36.4221
