time(s)	cellId	rnti	lcid	packetSize
0.0378125	4	2	4	159
0.0379375	1	2	4	57
0.038	4	1	4	164
0.038	4	2	4	57
0.038	7	1	4	36
0.0380625	1	2	4	57
0.0380625	4	2	4	57
0.038125	1	2	4	57
0.038125	7	1	4	36
0.0381875	4	2	4	57
0.0381875	7	1	4	159
0.03825	4	1	4	245
0.03825	1	2	4	57
0.03825	4	2	4	57
0.0383125	1	2	4	57
0.0383125	4	2	4	57
0.0383125	7	1	4	114
0.0384375	1	2	4	57
0.0384375	7	1	4	57
0.0385	1	1	4	1223
0.0385	4	1	4	164
0.0385	4	2	4	57
0.0385625	1	2	4	57
0.0385625	7	1	4	57
0.038625	1	2	4	57
0.038625	7	1	4	57
0.0386875	4	2	4	36
0.03875	1	1	4	245
0.03875	4	1	4	245
0.03875	1	2	4	57
0.03875	4	2	4	36
0.0388125	1	2	4	57
0.0388125	4	2	4	159
0.0388125	7	1	4	36
0.0389375	1	2	4	57
0.039	1	1	4	164
0.039	4	1	4	164
0.039	4	2	4	57
0.039	7	1	4	36
0.0390625	1	2	4	57
0.0390625	4	2	4	57
0.039125	1	2	4	57
0.039125	7	1	4	216
0.0391875	4	2	4	57
0.03925	1	1	4	245
0.03925	4	1	4	245
0.03925	1	2	4	57
0.03925	4	2	4	57
0.0393125	1	2	4	57
0.0393125	4	2	4	57
0.0393125	7	1	4	114
0.0394375	1	2	4	57
0.0394375	4	2	4	36
0.0394375	7	1	4	57
0.0395	1	1	4	164
0.0395	4	1	4	164
0.0395	4	2	4	23
0.0395625	1	2	4	57
0.0395625	7	1	4	57
0.039625	1	2	4	57
0.039625	7	1	4	57
0.03975	1	1	4	245
0.03975	4	1	4	245
0.03975	1	2	4	57
0.03975	4	2	4	170
0.0398125	1	2	4	57
0.0398125	4	2	4	57
0.0398125	7	1	4	36
0.0399375	1	2	4	57
0.0399375	4	2	4	57
0.04	4	1	4	164
0.04	7	1	4	36
0.0400625	1	2	4	57
0.040125	1	2	4	57
0.040125	7	1	4	216
0.0401875	4	2	4	36
0.04025	4	1	4	245
0.04025	1	2	4	57
0.0403125	1	2	4	57
0.0403125	4	2	4	36
0.0403125	7	1	4	114
0.040375	4	2	4	36
0.0404375	1	2	4	57
0.0404375	4	2	4	182
0.0405	4	1	4	164
0.0405	7	1	4	57
0.0405625	1	2	4	57
0.0405625	7	1	4	57
0.040625	1	2	4	57
0.040625	4	2	4	114
0.0406875	7	1	4	36
0.04075	4	1	4	245
0.04075	1	2	4	57
0.04075	4	2	4	57
0.04075	7	1	4	36
0.0408125	1	2	4	57
0.0408125	4	2	4	57
0.0408125	7	1	4	103
0.0409375	1	2	4	57
0.0409375	7	1	4	36
0.041	4	1	4	164
0.041	4	2	4	36
0.041	7	1	4	23
0.0410625	1	2	4	57
0.0410625	7	1	4	57
0.041125	1	2	4	57
0.0411875	4	2	4	36
0.0411875	7	1	4	36
0.04125	1	1	4	1223
0.04125	4	1	4	245
0.04125	1	2	4	57
0.04125	4	2	4	36
0.04125	7	1	4	80
0.0413125	1	2	4	57
0.0413125	4	2	4	182
0.0414375	1	2	4	57
0.0414375	4	2	4	57
0.0415	1	1	4	164
0.0415	4	1	4	164
0.0415	7	1	4	114
0.0415625	1	2	4	57
0.0415625	4	2	4	57
0.041625	1	2	4	57
0.041625	4	2	4	57
0.041625	7	1	4	36
0.0416875	7	1	4	80
0.04175	1	1	4	245
0.04175	4	1	4	245
0.04175	1	2	4	57
0.04175	7	1	4	57
0.0418125	1	2	4	57
0.0418125	4	2	4	36
0.0418125	7	1	4	57
0.0419375	1	2	4	57
0.0419375	7	1	4	57
0.042	1	1	4	164
0.042	4	1	4	164
0.042	4	2	4	36
