time(s)	cellId	rnti	lcid	packetSize
0.0246004	1	1	4	80
0.0246005	4	1	4	80
0.0247002	1	2	4	55
0.0247002	4	2	4	55
0.0247003	7	1	4	55
0.0247004	1	1	4	80
0.0247005	4	1	4	80
0.0248002	1	2	4	55
0.0248002	4	2	4	55
0.0248003	7	1	4	55
0.0248004	1	1	4	80
0.0248005	4	1	4	80
0.0249002	1	2	4	55
0.0249002	4	2	4	55
0.0249003	7	1	4	55
0.0249004	1	1	4	80
0.0249005	4	1	4	80
0.0250002	1	2	4	55
0.0250002	4	2	4	55
0.0250003	7	1	4	55
0.0250004	1	1	4	80
0.0250005	4	1	4	80
0.0251002	1	2	4	55
0.0251002	4	2	4	55
0.0251003	7	1	4	55
0.0251004	1	1	4	80
0.0251005	4	1	4	80
0.0252002	1	2	4	55
0.0252002	4	2	4	55
0.0252003	7	1	4	55
0.0252004	1	1	4	80
0.0252005	4	1	4	80
0.0253002	1	2	4	55
0.0253002	4	2	4	55
0.0253003	7	1	4	55
0.0253004	1	1	4	80
0.0253005	4	1	4	80
0.0254002	1	2	4	55
0.0254002	4	2	4	55
0.0254003	7	1	4	55
0.0254004	1	1	4	80
0.0254005	4	1	4	80
0.0255002	1	2	4	55
0.0255002	4	2	4	55
0.0255003	7	1	4	55
0.0255004	1	1	4	80
0.0255005	4	1	4	80
0.0256002	1	2	4	55
0.0256002	4	2	4	55
0.0256003	7	1	4	55
0.0256004	1	1	4	80
0.0256005	4	1	4	80
0.0257002	1	2	4	55
0.0257002	4	2	4	55
0.0257003	7	1	4	55
0.0257004	1	1	4	80
0.0257005	4	1	4	80
0.0258002	1	2	4	55
0.0258002	4	2	4	55
0.0258003	7	1	4	55
0.0258004	1	1	4	80
0.0258005	4	1	4	80
0.0259002	1	2	4	55
0.0259002	4	2	4	55
0.0259003	7	1	4	55
0.0259004	1	1	4	80
0.0259005	4	1	4	80
0.0260002	1	2	4	55
0.0260002	4	2	4	55
0.0260003	7	1	4	55
0.0260004	1	1	4	80
0.0260005	4	1	4	80
0.0261002	1	2	4	55
0.0261002	4	2	4	55
0.0261003	7	1	4	55
0.0261004	1	1	4	80
0.0261005	4	1	4	80
0.0262002	1	2	4	55
0.0262002	4	2	4	55
0.0262003	7	1	4	55
0.0262004	1	1	4	80
0.0262005	4	1	4	80
0.0263002	1	2	4	55
0.0263002	4	2	4	55
0.0263003	7	1	4	55
0.0263004	1	1	4	80
0.0263005	4	1	4	80
0.0264002	1	2	4	55
0.0264002	4	2	4	55
0.0264003	7	1	4	55
0.0264004	1	1	4	80
0.0264005	4	1	4	80
0.0265002	1	2	4	55
0.0265002	4	2	4	55
0.0265003	7	1	4	55
0.0265004	1	1	4	80
0.0265005	4	1	4	80
0.0266002	1	2	4	55
0.0266002	4	2	4	55
0.0266003	7	1	4	55
0.0266004	1	1	4	80
0.0266005	4	1	4	80
0.0267002	1	2	4	55
0.0267002	4	2	4	55
0.0267003	7	1	4	55
0.0267004	1	1	4	80
0.0267005	4	1	4	80
0.0268002	1	2	4	55
0.0268002	4	2	4	55
0.0268003	7	1	4	55
0.0268004	1	1	4	80
0.0268005	4	1	4	80
0.0269002	1	2	4	55
0.0269002	4	2	4	55
0.0269003	7	1	4	55
0.0269004	1	1	4	80
0.0269005	4	1	4	80
0.0270002	1	2	4	55
0.0270002	4	2	4	55
0.0270003	7	1	4	55
0.0270004	1	1	4	80
0.0270005	4	1	4	80
0.0271002	1	2	4	55
0.0271002	4	2	4	55
0.0271003	7	1	4	55
