Time	direction	frame	subF	slot	1stSym	nSymbol	cellId	bwpId	rnti	tbSize	mcs	rank	rv	SINR(dB)	CQI	corrupt	TBler
0.0189955	DL	1	8	15	1	12	7	0	1	39	0	1	0	38.3889	15	0	0
0.0190357	DL	1	9	0	1	1	4	1	1	497	28	1	0	31.0066	15	0	0
0.0190536	DL	1	9	0	1	2	1	1	1	265	12	1	0	63.5108	15	0	0
0.019058	DL	1	9	0	1	12	7	0	1	118	28	1	1	48.0656	15	0	0.309232
0.0190714	DL	1	9	1	1	1	1	0	2	118	28	1	0	61.0085	15	0	5.701e-14
0.0191205	DL	1	9	1	1	12	4	0	2	118	28	1	2	19.9585	15	0	0
0.0191205	DL	1	9	1	1	12	7	0	1	118	28	1	1	6.88863	7	1	1
0.0191339	DL	1	9	2	1	1	4	0	2	118	28	1	0	21.5261	15	0	1.30873e-05
0.019183	DL	1	9	2	1	12	7	0	1	39	0	1	0	38.8028	15	0	0
0.0191964	DL	1	9	3	1	1	1	0	2	118	28	1	0	36.4221	15	0	5.701e-14
0.0191964	DL	1	9	3	1	1	4	0	2	118	28	1	0	-19.4362	0	1	1
0.0192455	DL	1	9	3	1	12	7	0	1	118	28	1	2	47.6878	15	0	0
0.0192589	DL	1	9	4	1	1	1	0	2	118	28	1	0	34.9258	15	0	5.701e-14
0.0192679	DL	1	9	4	1	3	7	0	1	254	22	1	0	36.5528	13	0	7.55318e-12
0.0192857	DL	1	9	1	1	1	4	1	1	497	28	1	0	31.0066	15	0	0
0.0193036	DL	1	9	1	1	2	1	1	1	265	12	1	0	63.5108	15	0	0
0.019308	DL	1	9	4	1	12	4	0	2	239	28	1	1	38.818	15	0	0
0.0193214	DL	1	9	5	1	1	4	0	2	109	26	1	0	33.6621	15	0	0
0.0193839	DL	1	9	6	1	1	1	0	2	118	28	1	0	36.4221	15	0	5.701e-14
0.0193839	DL	1	9	6	1	1	4	0	2	109	26	1	0	-19.4362	0	1	1
0.019433	DL	1	9	6	1	12	7	0	1	118	28	1	2	47.6878	15	0	0
0.0194464	DL	1	9	7	1	1	1	0	2	118	28	1	0	33.1112	15	0	5.701e-14
0.0194464	DL	1	9	7	1	1	4	0	2	118	28	1	0	-19.4363	0	1	1
0.0194598	DL	1	9	7	1	4	7	0	1	127	12	1	0	37.9312	15	0	0
0.0195357	DL	1	9	2	1	1	4	1	1	497	28	1	0	31.0066	15	0	0
0.0195536	DL	1	9	2	1	2	1	1	1	265	12	1	0	63.5108	15	0	0
0.019558	DL	1	9	8	1	12	4	0	2	118	28	1	1	41.8564	15	1	0.595259
0.0195714	DL	1	9	9	1	1	1	0	2	118	28	1	0	33.1112	15	0	5.701e-14
0.0195714	DL	1	9	9	1	1	7	0	1	118	28	1	0	-5.10577	0	1	1
0.0196205	DL	1	9	9	1	12	4	0	2	39	0	1	0	33.2843	15	0	0
0.0196339	DL	1	9	10	1	1	4	0	2	118	28	1	0	33.6621	15	0	5.701e-14
0.0196964	DL	1	9	11	1	1	1	0	2	118	28	1	0	35.102	15	0	5.701e-14
0.0196964	DL	1	9	11	1	1	7	0	1	96	24	1	0	-5.11815	0	1	1
0.0197455	DL	1	9	11	1	12	4	0	2	109	26	1	1	41.4787	15	0	0
0.0197589	DL	1	9	12	1	1	1	0	2	118	28	1	0	35.102	15	0	5.701e-14
0.0197589	DL	1	9	12	1	1	7	0	1	118	28	1	0	-5.11815	0	1	1
0.0197857	DL	1	9	3	1	1	4	1	1	497	28	1	0	31.0066	15	0	0
0.0198036	DL	1	9	3	1	2	1	1	1	265	12	1	0	63.5108	15	0	0
0.019808	DL	1	9	12	1	12	4	0	2	118	28	1	1	41.4787	15	1	0.595259
0.0198705	DL	1	9	13	1	12	4	0	2	118	28	1	2	41.8564	15	0	0
0.0198839	DL	1	9	14	1	1	1	0	2	118	28	1	0	36.4221	15	0	5.701e-14
0.0198884	DL	1	9	14	1	2	4	0	2	239	28	1	0	30.1837	14	1	0.781991
0.019933	DL	1	9	14	1	12	7	0	1	118	28	1	1	47.2742	15	1	0.290877
