Time	CellId	RNTI	BWPId	SINR(dB)
0.108058	7	1	0	39.0347
0.108071	1	2	0	35.102
0.108121	4	2	0	19.7492
0.108121	7	1	0	38.2429
0.108134	7	1	0	9.83385
0.108183	4	2	0	33.3084
0.108196	1	2	0	36.4221
0.108232	1	1	1	66.915
0.108246	4	2	0	32.8153
0.108246	7	1	0	6.78146
0.108259	1	2	0	61.0085
0.108286	4	1	1	61.278
0.108308	4	2	0	10.9276
0.108308	7	1	0	-2.14227
0.108366	4	2	0	33.193
0.108371	7	1	0	28.125
0.108384	1	2	0	35.102
0.108388	7	1	0	35.6114
0.108433	4	2	0	32.0571
0.108446	1	2	0	36.4221
0.108451	4	2	0	30.1837
0.108482	1	1	1	66.915
0.108496	7	1	0	38.2433
0.108536	4	1	1	61.278
0.108558	7	1	0	39.0347
0.108571	1	2	0	61.0085
0.108621	4	2	0	10.9276
0.108621	7	1	0	-2.14227
0.108634	4	2	0	21.5261
0.108647	7	1	0	37.9328
0.108696	1	2	0	36.1458
0.108696	4	2	0	-19.4362
0.108732	1	1	1	66.915
0.108746	7	1	0	38.6495
0.108759	1	2	0	33.1112
0.108759	4	2	0	-19.4363
0.108763	7	1	0	36.1709
0.108786	4	1	1	61.278
0.108884	1	2	0	36.4221
0.108884	4	2	0	-19.4362
0.108933	7	1	0	38.6569
0.108946	1	2	0	33.1112
0.108946	4	2	0	-19.4363
0.10896	7	1	0	37.9312
0.108982	1	1	1	66.915
0.109036	4	1	1	51.1718
0.109058	4	2	0	32.8255
0.109071	1	2	0	35.102
0.109071	7	1	0	-5.11815
0.109121	4	2	0	32.4478
0.109183	4	2	0	33.6621
0.109196	1	1	1	66.0674
0.109196	1	2	0	35.102
0.109196	7	1	0	-5.11815
0.109246	4	2	0	32.4478
0.109259	1	2	0	35.102
0.109259	7	1	0	-5.11815
0.109286	1	1	1	5.10933
0.109286	4	1	1	51.1718
0.109308	4	2	0	32.4478
0.109371	4	2	0	33.6621
0.109384	1	2	0	61.0085
