time(s)	cellId	rnti	lcid	packetSize
0.1083	7	1	4	55
0.1083	1	1	4	80
0.108301	4	1	4	80
0.1084	1	2	4	55
0.1084	4	2	4	55
0.1084	7	1	4	55
0.1084	1	1	4	80
0.108401	4	1	4	80
0.1085	1	2	4	55
0.1085	4	2	4	55
0.1085	7	1	4	55
0.1085	1	1	4	80
0.108501	4	1	4	80
0.1086	1	2	4	55
0.1086	4	2	4	55
0.1086	7	1	4	55
0.1086	1	1	4	80
0.108601	4	1	4	80
0.1087	1	2	4	55
0.1087	4	2	4	55
0.1087	7	1	4	55
0.1087	1	1	4	80
0.108701	4	1	4	80
0.1088	1	2	4	55
0.1088	4	2	4	55
0.1088	7	1	4	55
0.1088	1	1	4	80
0.108801	4	1	4	80
0.1089	1	2	4	55
0.1089	4	2	4	55
0.1089	7	1	4	55
0.1089	1	1	4	80
0.108901	4	1	4	80
0.109	1	2	4	55
0.109	4	2	4	55
0.109	7	1	4	55
0.109	1	1	4	80
0.109001	4	1	4	80
0.1091	1	2	4	55
0.1091	4	2	4	55
0.1091	7	1	4	55
0.1091	1	1	4	80
0.109101	4	1	4	80
0.1092	1	2	4	55
0.1092	4	2	4	55
0.1092	7	1	4	55
0.1092	1	1	4	80
0.109201	4	1	4	80
0.1093	1	2	4	55
0.1093	4	2	4	55
0.1093	7	1	4	55
0.1093	1	1	4	80
0.109301	4	1	4	80
0.1094	1	2	4	55
0.1094	4	2	4	55
0.1094	7	1	4	55
0.1094	1	1	4	80
0.109401	4	1	4	80
0.1095	1	2	4	55
0.1095	4	2	4	55
0.1095	7	1	4	55
0.1095	1	1	4	80
0.109501	4	1	4	80
0.1096	1	2	4	55
0.1096	4	2	4	55
0.1096	7	1	4	55
0.1096	1	1	4	80
0.109601	4	1	4	80
0.1097	1	2	4	55
0.1097	4	2	4	55
0.1097	7	1	4	55
0.1097	1	1	4	80
0.109701	4	1	4	80
0.1098	1	2	4	55
0.1098	4	2	4	55
0.1098	7	1	4	55
0.1098	1	1	4	80
0.109801	4	1	4	80
0.1099	1	2	4	55
0.1099	4	2	4	55
0.1099	7	1	4	55
0.1099	1	1	4	80
0.109901	4	1	4	80
0.11	1	2	4	55
0.11	4	2	4	55
0.11	7	1	4	55
0.11	1	1	4	80
0.110001	4	1	4	80
0.1101	1	2	4	55
0.1101	4	2	4	55
0.1101	7	1	4	55
0.1101	1	1	4	80
0.110101	4	1	4	80
0.1102	1	2	4	55
0.1102	4	2	4	55
0.1102	7	1	4	55
0.1102	1	1	4	80
0.110201	4	1	4	80
0.1103	1	2	4	55
0.1103	4	2	4	55
0.1103	7	1	4	55
0.1103	1	1	4	80
0.110301	4	1	4	80
0.1104	1	2	4	55
0.1104	4	2	4	55
0.1104	7	1	4	55
0.1104	1	1	4	80
0.110401	4	1	4	80
0.1105	1	2	4	55
0.1105	4	2	4	55
0.1105	7	1	4	55
0.1105	1	1	4	80
0.110501	4	1	4	80
0.1106	1	2	4	55
0.1106	4	2	4	55
0.1106	7	1	4	55
0.1106	1	1	4	80
0.110601	4	1	4	80
0.1107	1	2	4	55
0.1107	4	2	4	55
0.1107	7	1	4	55
0.1107	1	1	4	80
0.110701	4	1	4	80
0.1108	1	2	4	55
0.1108	4	2	4	55
0.1108	7	1	4	55
0.1108	1	1	4	80
0.110801	4	1	4	80
0.1109	1	2	4	55
0.1109	4	2	4	55
0.1109	7	1	4	55
0.1109	1	1	4	80
0.110901	4	1	4	80
0.111	1	2	4	55
0.111	4	2	4	55
0.111	7	1	4	55
0.111	1	1	4	80
0.111001	4	1	4	80
0.1111	1	2	4	55
0.1111	4	2	4	55
0.1111	7	1	4	55
0.1111	1	1	4	80
0.111101	4	1	4	80
0.1112	1	2	4	55
0.1112	4	2	4	55
0.1112	7	1	4	55
0.1112	1	1	4	80
0.111201	4	1	4	80
0.1113	1	2	4	55
0.1113	4	2	4	55
0.1113	7	1	4	55
0.1113	1	1	4	80
0.111301	4	1	4	80
0.1114	1	2	4	55
0.1114	4	2	4	55
0.1114	7	1	4	55
0.1114	1	1	4	80
0.111401	4	1	4	80
0.1115	1	2	4	55
0.1115	4	2	4	55
0.1115	7	1	4	55
0.1115	1	1	4	80
0.111501	4	1	4	80
0.1116	1	2	4	55
0.1116	4	2	4	55
0.1116	7	1	4	55
0.1116	1	1	4	80
0.111601	4	1	4	80
0.1117	1	2	4	55
0.1117	4	2	4	55
0.1117	7	1	4	55
